Job Title,Location,Date Posted,Minimum Qualifications,Preferred Qualifications,Description,Responsibilities,Apply Link
"Senior Software Engineer, Full Stack, Google Cloud","Bengaluru, Karnataka, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
5 years of experience with software development in one or more programming languages, and with data structures/algorithms.
3 years of experience with full stack development, across back-end such as Java, Python, GO, or C++ codebases, and front-end experience including JavaScript, or TypeScript, HTML, CSS, etc.
3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.","Master's degree or PhD in Computer Science or related technical field.
1 year of experience in a technical leadership role.
Experience developing accessible technologies.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.","Responsibilities
Write and test product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckSnyXO6n_3JHus0EHn_8SwaITrALHFo6SR4cnh-rCtBWEjsAD5qA2R-MuOrYMIAgKaPhBTgZ5EVJllHfONhNuMOTAgcMuUEEByxUPpczSwYcPZ6_x7W5AP-YgEohug%3D%3D_V2&loc=IN&title=Senior+Software+Engineer&page=33
"Account Strategist, Mid-Market Sales, Google Customer Solutions","Mumbai, Maharashtra, India",Not Provided,"Bachelor's degree or equivalent practical experience.
2 years of experience in advertising, sales, marketing, consulting, or media.","Experience assessing and achieving client success via business techniques, including effective questioning, objection handling, and engaged promotions.
Experience in launching and managing paid digital advertising campaigns such as Google Ads and other digital marketing platforms.
Experience working with channel sales, advertisers, agencies, or clients.
Ability to manage and prioritize a portfolio in an advertising or media business context, and achieve goals to drive growth.
Ability to build engaging narratives and utilize storytelling as a client engagement strategy.","About the job
Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google advertising solution works for all. Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing businesses grow. Using your relationship-building skills, you provide Google-caliber client service, research and market analysis. You anticipate how decisions are made, persistently explore and uncover the business needs of Google's key clients and understand how our range of product offerings can grow their business. Working with them, you set the direction and the strategy for how their advertising can reach thousands of users.
Google Customer Solutions (GCS) sales teams are trusted advisors and competitive sellers who maintain a relentless focus on customer success by bringing the best Google has to offer to small- and medium-sized businesses (SMBs), which are the backbone of our communities. As a member of our team, you’ll have the opportunity to work with company owners and make a real difference in their businesses by helping them grow. Together, we help shape the future of innovation for customers, partners, and sellers...and we have fun doing it.","Responsibilities
Build and manage relationships with clients virtually or face to face by meeting with multiple clients on a daily basis and developing an understanding of their business challenges, marketing objectives, and success metrics.
Work with internal and external stakeholders to ensure workflows and projects are completed on time.
Plan for, and achieve, growth goals including but not limited to quarterly business growth and productivity goals, through the presentation of Google advertising products/solutions that will help clients to meet their marketing objectives.
Develop forward thinking, data-driven analyses and consultative recommendations that align with customer goals, and quantify opportunities with clear recommendations to present to customers.
Build knowledge of how Google advertising products work and can be used to help meet a wide range of marketing objectives.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckdwgBwtZjj7I2PloqTgBCFqha1BqkTI8b9lIzLsdcJMIEjoA7mFcrF3nZkdfGGeIprLSNfmat4dHyIoYYkyjIw7lgWojGDXWT1bOurzyIsAtqDCTEtt1lEVyPEvN_V2&loc=IN&title=Account+Strategist&page=34
"Senior Staff Software Engineer, Information Retrieval, Generic Pathway","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree in Computer Science or a related technical field, or equivalent practical experience.
8 years of experience with software development in one or more programming languages, and with data structures/algorithms.
5 years of experience with design and architecture, and testing/launching software products.","Experience in a technical leadership role, leading project teams and setting technical direction.
Experience working with cross functional teams or teams across different locations.
Experience in designing distributed systems.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions. The Core team builds the technical foundation behind Google’s flagship products. We are owners and advocates for the underlying design elements, developer platforms, product components, and infrastructure at Google. These are the essential building blocks for excellent, safe, and coherent experiences for our users and drive the pace of innovation for every developer. We look across Google’s products to build central solutions, break down technical barriers and strengthen existing systems. As the Core team, we have a mandate and a unique opportunity to impact important technical decisions across the company.","Responsibilities
Set technical directions that streamline data journeys and accelerate client solution delivery on Information retrieval systems.
Provide customizable and reusable building blocks to adapt to client needs.
Define the end-to-end experience that is intuitive to clients covering the whole lifecycle of prototyping, experimentation, productionization and post launch iterations. Evolve existing data journeys (e.g., web/media, embedding) toward a unified approach.
Define consistent principles for experiences like experimentation.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2Fckcnc4AsPmN-v_6bjEjzWvCIreDlsfzd5m7Gv9xlvxF08EjsA7mFcrGKdyhnxF9mq4GU6utQZbHIkWbsV4SOy42RsVKQiJjvwLzx9gveI3RmmaA28axPFnxYiI5V2xQ%3D%3D_V2&loc=IN&title=Senior+Staff+Software+Engineer&page=34
"Regional Operations Manager, Trust and Safety, Compute","Hyderabad, Telangana, India",Not Provided,"Bachelor's degree or equivalent practical experience.
4 years of experience in data analytics, Trust and Safety, policy, cybersecurity, or related fields.
Experience working with SQL, Colaboratory, Python.","5 years of experience in Technology, Product Policy, Trust and Safety or related fields.
Experience in crafting narratives to influence internal and external stakeholders, as well as presenting to C-Level executives in the organization.
Knowledge of content moderation, DevOps, policy enforcement, customer support or policy creation.
Ability to solve operational or policy issues, working closely with various cross-functional teams.
Excellent problem-solving and critical thinking skills with attention to detail in an ever-changing environment
Excellent communication skills, with the ability to articulate complex policy concepts.","About the job
Trust & Safety team members are tasked with identifying and taking on the biggest problems that challenge the safety and integrity of our products. They use technical know-how, excellent problem-solving skills, user insights, and proactive communication to protect users and our partners from abuse across Google products like Search, Maps, Gmail, and Google Ads. On this team, you're a big-picture thinker and strategic team-player with a passion for doing what’s right. You work globally and cross-functionally with Google engineers and product managers to identify and fight abuse and fraud cases at Google speed - with urgency. And you take pride in knowing that every day you are working hard to promote trust in Google and ensuring the highest levels of user safety.
The Trust and Safety Compute team prioritizes user experience, promotes developer success through consistency and trust, and makes the mobile experience the safest it can be across Play, Android and Chrome Web store.
In this role, you will aim to build trust and minimize friction with trusted developers, while also mitigating ecosystem risks. You will do this through speedy resolution of developer issues, proactive education, identifying sensitive risk areas and incorporating local context into policy decisions.
At Google we work hard to earn our users’ trust every day. Trust & Safety is Google’s team of abuse fighting and user trust experts working daily to make the internet a safer place. We partner with teams across Google to deliver bold solutions in abuse areas such as malware, spam and account hijacking. A diverse team of Analysts, Policy Specialists, Engineers, and Program Managers, we work to reduce risk and fight abuse across all of Google’s products, protecting our users, advertisers, and publishers across the globe in over 40 languages.","Responsibilities
Lead the resolutions of various policy related issues for T&S Play and Android Operations.
Lead trust and safety (T&S) and Google Play-wide policy launches and trust and safety initiatives in the region to ensure a safe app experience.
Manage sensitive escalations, and drive process improvement to mitigate the future risks, working with stakeholders across Play Partnerships, Policy, Operations, Engineering, Product, Government Affairs and Legal teams.
Drive cross-functional projects collaborating with teams across various regions to land foundational improvement to our policies and enforcement processes. 
Represent your region to solicit stakeholder feedback for Google Play Policies and Operations, identify emerging risks and build long-term prevention strategies and drive scalable policy education for developers in your region and consistently improve the brand and reputation of Google Play.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckU7AAm3NvJBq9aj2GZRzO9UiHQqw5wUFBkNU7sR3EaZiEjsA7mFcrDxp_wjIYMi510OyK6pj44cRoVTI8US7zYItjqQJ5xExYkmsNnZvROP0pG0mspHRorqIPB0_CA%3D%3D_V2&loc=IN&title=Regional+Operations+Manager&page=34
Search Specialist,"Hyderabad, Telangana, India",Not Provided,"Bachelor's degree or equivalent practical experience.
2 years of experience working with digital media or digital marketing/advertising solutions, implementing and measuring campaigns and providing client solutions.","3 years of experience in Internet products and technologies.
Experience in data analysis, ability to interpret datasets, identify trends, and translate findings into compelling narratives, with a strong aptitude for quickly grasping technical concepts and knowing when to apply them.
Knowledge of apps platforms and products, the performance advertising market, or online ads landscape.
Effective project management skills with the ability to oversee multiple, simultaneous solutions, supported by internal teams.
Strong business communication, negotiation, and influencing skills.
Ability to collaborate cross-functionally with multiple teams and stakeholders while building relationships.","About the job
gTech Ads is responsible for all support and media and technical services for customers big and small across our entire Ad products stack. We help our customers get the most out of our Ad and Publisher products and guide them when they need help. We provide a range of services from enabling better self help and in-product support, to providing better support through interactions, setting up accounts and implementing ad campaigns, and providing media solutions for customers business and marketing needs and providing complex technical and measurement solutions along with consultative support for our large customers. These solutions range from bespoke and customized ones for our customers to scalable support for millions of customers worldwide. Based on the evolving needs of our ads customers, we partner with Sales, Product and Engineering teams within Google to develop better solutions, tools, and services to improve our products and enhance our client experience. As a cross-functional and global team, we ensure our customers get the best return on investment with Google and we remain a trusted partner.
Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video.","Responsibilities
Advise key Google Ads clients, leveraging digital marketing and tech solutions to address business issues, collaborate as a thought partner, design media plans, and deliver technical solutions to achieve business goals.
Build relationships with external advertisers to deliver business outcomes through Google Ads, supporting planning, pitching, implementation, and optimization to boost product adoption and business growth.
Collaborate with teams to drive growth plans for clients. Develop and apply insights of market and competitive environment for vertical and sub-verticals in solutions offered.
Serve as the customer's Search product expert by successfully delivering consultative digital marketing solutions that address issues and enhance the customer's sophistication and digital maturity.
Advocate new product features, assist with adoption through setup and provide technical guidance for infrastructure and data integration in Google Ads.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckYeBFQSbjMr9kjLEBKPl_FJYKatES_EDSKeWnC3rSMVUEjsA7mFcrI1dOc0ODCZSAaY7cp-4hh5CciLEdAL_-_LS_ZLeXGZlp5BqQmY4UCgskTReeyo7V7ywpCJ5Ag%3D%3D_V2&loc=IN&title=Search+Specialist&page=34
"Engineering Manager, Information Retrieval Generic Pathway","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree in Computer Science or related technical field, or equivalent practical experience.
8 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).
3 years of experience in a leadership role (e.g., technical leadership or people management, supervision, or team leadership).","Experience developing and working with distributed systems.
Experience of working with cross-functional teams or teams across different Geo locations.","About the job
Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.

With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally. The Core team builds the technical foundation behind Google’s flagship products. We are owners and advocates for the underlying design elements, developer platforms, product components, and infrastructure at Google. These are the essential building blocks for excellent, safe, and coherent experiences for our users and drive the pace of innovation for every developer. We look across Google’s products to build central solutions, break down technical barriers and strengthen existing systems. As the Core team, we have a mandate and a unique opportunity to impact important technical decisions across the company.","Responsibilities
Manage a team of engineers, driving technical and organizational strategies to simplify data journeys and accelerate client solution delivery on IR systems.
Define and execute the team goal, ensuring alignment with broader organization goals. Drive adoption of generic building blocks, enabling scalable and adaptable client solutions.
Build and mentor a high-performing team, fostering a culture of technical excellence and collaboration.
Collaborate other teams in Pathways and teams from IR systems to evolve existing data journeys (web/media, embedding) toward a unified approach.
Establish and enforce best practices for critical experiences like experimentation.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckRpmw2qGB_YqgG19v956Zt9qBiDzsYRxoO4dsO4R7fdaEjsA7mFcrKM0CJK3QrcEPfZm0OTSyQUsUplB8Kq4jQJ-445C-6fFxWe9WGWcCRg9k5MkXBe69pR3-YbGsg%3D%3D_V2&loc=IN&title=Engineering+Manager&page=34
System Performance Engineer,"Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree in Electronics Engineering, Computer Engineering or Computer Science, or equivalent practical experience.
3 years of experience working with System Software of Silicon architecture, GPU and memory subsystem.
Experience in power and performance optimization.
Experience programming in Python, C, or C++.","Master's degree in Electronics Engineering, Computer Engineering, Computer Science, or in a related techincal field.
Experience in mobile System on a Chip (SoC) architecture and system software architecture.
Experience in system hardware/software design for power, performance and thermal.
Knowledge of Artificial Intelligence/Machine Learning (AI/ML) or Large Language Model (LLM) on the edge device.","About the job
Be part of a diverse team that pushes boundaries, developing custom silicon solutions that power the future of Google's direct-to-consumer products. You'll contribute to the innovation behind products loved by millions worldwide. Your expertise will shape the next generation of hardware experiences, delivering unparalleled performance, efficiency, and integration.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.","Responsibilities
Understand the Silicon Hardware and software architecture, design and implementation of a SoC.
Understand software workloads and utilize the available compute engines on the Silicon.
Define and validate key performance metrics (KPIs) and power goals for SoC and critical user journey workloads.
Engage with ML System Architects and Software teams to define and validate Hardware/Software specifications.
Engage with Verification and Validation teams to ensure KPIs are met.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckdXChH_YCFbSNcNewSWauEMp_-2GEXgwHX2jGFbtYvSvEjsA7mFcrOF6HY-0VlHcthkgGlRLDDHxyBHX5F2eaKzCQFfiDskWDRH6Pchn4xUNTNQP275gI4zOQyFmiw%3D%3D_V2&loc=IN&title=System+Performance+Engineer&page=34
"Senior Software Engineer, Google One","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree or equivalent practical experience.
5 years of experience with software development in one or more programming languages, and with data structures/algorithms.
3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.","Master's degree or PhD in Computer Science or a related technical field.
1 year of experience in a technical leadership role.
Experience developing accessible technologies.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
The Platforms and Ecosystems product area encompasses Google's various computing software platforms across environments (desktop, mobile, applications). The products provide enterprises, and ultimately end users, the ability to utilize and manage their services at scale. We build innovative and compelling software products—from apps to TVs, from laptops to phones—that have an impact on people’s lives across the world.","Responsibilities
Write and test product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckWVxsFWIKL5yzNhKN_2W5D1HRFC_a6gAj3SOyRteohzyEjsA7mFcrANtmavOD-NTtb1rxzULnFHg9Zy1FoNAP8aJp-IUVklIzkOg_YOOEJ4sdfSQ8Q0Qaw6qAexRgw%3D%3D_V2&loc=IN&title=Senior+Software+Engineer&page=34
"Senior Software Engineer, Google Cloud","Hyderabad, Telangana, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
5 years of experience with software development in one or more programming languages, and with data structures/algorithms.
3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.","Master's degree or PhD in Computer Science or related technical field.
1 year of experience in a technical leadership role.
Experience developing accessible technologies.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.","Responsibilities
Write and test product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckRvQ5MzaMgPA9vkOK0qX_f0h2eBENj-iUWg-uSXLDCBYEjsAbmRECexOcpjQODlLrx_GyaU1KFbvjtVHfTf4I-3HtlqXRKz0mC4F6Nt2CombPLozKLUSE40oWVwlTQ%3D%3D_V2&loc=IN&title=Senior+Software+Engineer&page=35
"Technical Writer, Cloud Networking","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree or equivalent practical experience.
Experience with technical documentation, developer facing, Cloud Application programming interfaces (APIs), networking protocols, or network architecture.","10 years of experience as a technical writer.
Experience with computer networking technologies, such as Domain Name System (DNS), routers, the Border Gateway Protocol (BGP) routing protocol, firewalls and firewall rules including iptables, Virtual Private Networks and cloud-based services, and load balancers and proxies.
Experience with public Cloud technologies such as Cloud Networking technologies, Compute technologies, ML/AI technologies, or data systems (e.g., Data Warehousing, Analytics, SQL).","About the job
Technical writers plan, create, and maintain educational content as an integral part of the engineering or user experience. The content is often in the form of documentation, but may also be UI text, sample code, videos, or other educational material. Regardless of the content medium, technical writers are distinguished by their abilities to explain complex topics in a way that’s useful to their audience.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.","Responsibilities
Research and write documentation for developers.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckY_jvgRwktj90GIn7ftWb423lZiYWXLj9Wl9R8bmBBZ1EjsA7mFcrCpDl6dH3Fm3xRlwIM61rNNNbqZizCzgzYPgQSpftW94W02amoIFsvgqUXHX7zMxikGwg2BdwQ%3D%3D_V2&loc=IN&title=Technical+Writer&page=35
"Technical Program Manager, Content Technology","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree or equivalent practical experience.
5 years of experience in program management.
Experience with one of the following: mobile application software development, mobile release management, mobile operating systems, or software/hardware integration (e.g., SDK/frameworks, embedded software layers, or devices).
Experience analyzing technical issues, troubleshooting them, and classifying them into different categories.
Experience with automated processes for improved efficiency across the organization.","5 years of experience managing cross-functional or cross-team projects.
Experience driving projects through a Software Development Life-Cycle (SDLC) along with Android mobile app development and deployment.
Ability to operate in a fast-paced and evolving environment.
Excellent written and verbal communication skills, with the ability to be a liaison between a technical team and non-technical stakeholders.","About the job
A problem isn’t truly solved until it’s solved for all. That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Technical Program Manager at Google, you’ll use your technical expertise to lead complex, multi-disciplinary projects from start to finish. You’ll work with stakeholders to plan requirements, identify risks, manage project schedules, and communicate clearly with cross-functional partners across the company. You're equally comfortable explaining your team's analyses and recommendations to executives as you are discussing the technical tradeoffs in product development with engineers.

Our goal is to build a Google that looks like the world around us — and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company.
As a Program Manager at Google, you will be key to the engineering and product team, empowering clients to build high-quality, efficient cross-platform and Android mobile app experiences. You'll partner with clients and engineers ensuring the platform supports mobile app development and deployment. The team's services span the mobile app lifecycle, including cross-platform tools, mobile-optimized content management, localization, digital asset management, performance monitoring, testing, and Play Store deployment. You will manage the mobile app development roadmap, cultivate key partnerships, and drive business objectives focused on mobile app user engagement.
The Platforms and Ecosystems product area encompasses Google's various computing software platforms across environments (desktop, mobile, applications). The products provide enterprises, and ultimately end users, the ability to utilize and manage their services at scale. We build innovative and compelling software products—from apps to TVs, from laptops to phones—that have an impact on people’s lives across the world.","Responsibilities
Lead Program Planning and Execution, orchestrate programs to achieve strategic objectives, and deliver measurable improvements (OKRs).
Establish and maintain relationships with customers, partner with customers to understand their needs, challenges, and expectations.
Product adoption and cross-functional collaboration, partner with engineering, product, and UX to prioritize and implement initiatives.
Manage programs and projects across technical domains, streamline processes, manage OKRs, and drive timely releases.
Collaborate with customers to identify their unique use cases.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2Fcka9pbPosc2clW1eGhs58Qb_1LDKB3D5PsHttXNAR-KuBEjsA7mFcrGNfy306R7q3p5M0ZomXG4U5ezj03VDMMWYl1BwusuRLIaYLdqH4-M5_1nSrreIj3-Ek1Xoj9Q%3D%3D_V2&loc=IN&title=Technical+Program+Manager&page=35
"Software Engineer III, Android, Google Play Apps","Bengaluru, Karnataka, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree in an industry setting.
2 years of experience with data structures or algorithms in either an academic or industry setting.
2 years of experience Android application development.
Experience in Kotlin, Android, Mobile App Development or Dagger.","Master's degree or PhD in Computer Science or related technical field.
2 years of experience with performance, large-scale systems data analysis, visualization tools, or debugging.
Experience developing accessible technologies.
Experience in code and system health, diagnosis and resolution, and software test engineering.
Experience with Java","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you will manage project priorities, deadlines, and deliverables using your technical expertise. You will design, develop, test, deploy, maintain, and enhance software solutions
Google Play offers music, movies, books, apps and games for devices, powered by the cloud. It syncs across devices and on the web. As part of the Android and Mobile team, Googlers working on Google Play do everything from engineering our backend systems, to shaping product strategy, to forming great content partnerships. They make it possible for people to do things like buy an ebook or song on their Android phone, then have it instantly available on their laptop. The Google Play team enhances the Android ecosystem by giving developers and partners a premium store where they can reach millions of users.","Responsibilities
Write product or system development code.
Review code developed by other developers and provide feedback to ensure adherence to best practices (e.g., style guidelines, code checking, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.
Participate in or lead design reviews with peers and stakeholders to choose among available technologies.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckYyxlUnIT_v2Q6AD9LsCO05gMgnLk_GNtDBNCkt3TVL2EjsA7mFcrPS1JRK3NZ6uZrZXiIsB5oyVzNWee0rrkgvwJqmcwSIKHEJuA4G9hOUXXzJ3m3UzY8lhtAi7Yw%3D%3D_V2&loc=IN&title=Software+Engineer+III&page=35
"Software Engineer II, Google Cloud","Hyderabad, Telangana, India; +2 more",Not Provided,"Bachelor’s degree or equivalent practical experience.
1 year of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).","Master's degree or PhD in Computer Science or related technical field.
Experience developing accessible technologies.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.","Responsibilities
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckWaZIrRMgJB6j1uGHRTpvsd0xeIYdkUmEkgNSjQtI5sXEjsAS-UddFY8QXT5n6jTxxg8ckqBKPq_nzCsUYYDNhbDd9UmWmbQWgpB1GBc5NVA1jIYpOho8fhnVKUE-A%3D%3D_V2&loc=IN&title=Software+Engineer+II&page=35
